Fecha Cierre,Client_ID,Resident_Capital,Client_Age_Years,Client_Sex,Client_Married,Amount_Last_Disbursement,n(Months)_Since_Last_Disbursement,n(Months)_Client_Relationship,n(Months)_LO_Active_Employee,Client_Status_Post3Months,Client_Status_Post6Months,LO_Active_Employee_Post3Months,LO_Active_Employee_Post6Months,n(Loans)_Outstanding_Maynas,n(Loans)_Outstanding_Other,n(Additional_Loans)_Post3Months,n(Additional_Loans)_Post6Months,Total_Accumulated_Interest_per_Client,LO_Active_Employee_Prior3Months,LO_Active_Employee_Prior6Months,n(Additional_Loans)_Pre3Months,n(Additional_Loans)_Pre6Months,LO_Changed,n(Months)_Change_LO
2018-01-31,1090100059439,1,63,1,0,1000.0,1,78,19,0,1,1,1,1,3,1,1,20,1,1,1,1,0,0
2018-01-31,1090100061212,1,68,0,1,29000.0,0,59,76,0,1,1,1,1,3,0,0,424,0,0,1,1,0,0
2018-01-31,1090100062073,1,47,1,0,13000.0,2,2,19,0,1,1,1,1,1,1,1,124,1,1,1,1,0,0
2018-01-31,1090100062111,1,55,1,1,20000.0,2,87,67,0,1,1,1,1,3,0,1,0,1,1,0,0,0,0
2018-01-31,1090100063347,1,67,0,1,15000.0,6,15,24,0,1,1,1,1,2,1,1,146,0,1,0,0,0,0
2018-01-31,1090100065234,1,62,1,0,7000.0,10,10,33,0,1,1,1,1,3,0,0,140,1,1,0,0,0,0
2018-01-31,1090100065676,1,54,1,0,25000.0,7,7,19,0,1,1,1,1,0,0,1,585,0,0,0,0,0,0
2018-01-31,1090100073601,1,60,1,0,10000.0,0,11,33,0,1,1,0,2,0,0,0,359,1,1,1,1,0,0
2018-01-31,1090100074241,1,60,0,1,10000.0,3,82,45,0,0,1,1,1,2,0,0,7,1,1,0,1,0,0
2018-01-31,1090100074276,1,55,0,0,60000.0,51,86,19,0,1,1,1,1,0,0,0,27,1,1,0,0,1,44
2018-01-31,1090100077186,1,51,1,1,19900.0,5,88,67,0,1,1,1,1,2,0,0,196,1,1,0,0,0,0
2018-01-31,1090100080632,1,62,0,0,44000.0,1,14,27,0,1,1,0,1,2,0,0,310,1,1,2,2,0,0
2018-01-31,1090100082074,1,74,1,0,100000.0,23,42,19,0,1,1,1,1,1,0,0,77,1,1,0,0,1,5
2018-01-31,1090100083640,1,67,0,1,160000.0,57,89,20,0,1,0,0,1,4,0,0,965,1,1,0,0,0,0
2018-01-31,1090100084034,1,56,1,1,45000.0,2,63,33,0,1,1,1,1,1,1,1,69,1,1,2,2,0,0
2018-01-31,1090100084450,1,56,0,0,15000.0,5,12,19,0,1,1,1,1,2,1,1,178,1,1,0,1,0,0
2018-01-31,1090100088099,1,49,0,0,19500.0,1,1,19,0,1,1,1,1,1,0,1,291,1,1,1,1,0,0
2018-01-31,1090100089486,1,52,1,1,5000.0,1,7,24,0,1,1,1,2,2,1,1,368,0,1,1,1,0,0
2018-01-31,1090100089656,1,53,1,0,28000.0,9,79,25,0,1,0,0,1,2,0,0,373,1,1,0,0,0,0
2018-01-31,1090100090344,1,69,1,0,15100.0,3,67,78,0,1,1,1,1,1,0,0,266,1,0,0,1,0,0
2018-01-31,1090100090824,1,57,1,0,40000.0,16,89,76,0,1,1,1,1,1,0,0,304,0,0,0,0,1,13
2018-01-31,1090100092673,1,68,1,0,10000.0,8,37,78,0,1,1,1,1,2,0,0,240,1,1,0,0,0,0
2018-01-31,1090100093157,1,59,1,0,5000.0,2,27,19,0,1,1,1,2,2,1,1,69,1,1,1,1,1,2
2018-01-31,1090100093866,1,56,1,0,70000.0,5,26,5,0,1,1,1,1,2,0,0,110,1,0,0,1,0,0
2018-01-31,1090100094927,1,69,1,1,23000.0,5,5,12,0,1,0,1,1,0,0,1,294,1,1,0,0,0,0
2018-01-31,1090100095494,1,61,0,1,28000.0,29,29,33,0,1,1,1,1,3,0,0,142,1,1,0,0,1,28
2018-01-31,1090100095672,1,68,1,1,26000.0,9,33,19,0,1,1,1,1,1,0,0,327,1,1,0,0,1,8
2018-01-31,1090100096571,1,66,0,1,45000.0,18,56,76,0,1,1,1,1,1,0,0,221,0,0,0,0,0,0
2018-01-31,1090100097551,1,54,1,0,7000.0,0,34,33,0,0,1,1,2,5,0,0,255,1,1,1,1,0,0
2018-01-31,1090100099970,1,62,0,0,5000.0,3,34,24,0,0,0,0,1,0,0,0,33,1,1,1,1,0,0
2018-01-31,1090100101605,1,45,1,1,15000.0,1,43,78,0,1,1,1,1,3,0,0,255,1,0,1,1,0,0
2018-01-31,1090100104451,1,59,1,0,7500.0,16,16,19,1,0,0,0,1,3,0,0,50,1,1,0,0,1,2
2018-01-31,1090100105571,1,49,1,0,60000.0,3,14,33,0,1,1,0,2,1,0,1,310,1,1,2,1,0,0
2018-01-31,1090100110337,1,47,1,0,50000.0,9,9,5,0,1,1,1,1,3,0,0,559,1,0,0,0,1,7
2018-01-31,1090100112003,1,62,1,1,29000.0,16,38,33,0,1,1,1,1,2,0,0,174,1,1,0,0,0,0
2018-01-31,1090100112437,1,68,1,1,21000.0,3,77,24,0,1,1,0,2,1,1,1,144,1,1,2,2,0,0
2018-01-31,1090100113603,1,73,1,1,5000.0,2,9,19,0,1,1,1,2,2,2,1,554,1,1,1,1,1,2
2018-01-31,1090100116084,1,59,1,1,15000.0,6,6,19,0,1,1,0,1,2,1,1,179,1,1,0,0,1,2
2018-01-31,1090100116483,1,62,1,0,107000.0,20,44,24,0,1,0,0,1,3,1,1,499,1,1,0,0,1,12
2018-01-31,1090100116629,1,62,0,1,70000.0,23,23,243,0,1,1,1,1,0,0,1,240,1,1,0,0,1,14
2018-01-31,1090100116700,1,52,1,0,35000.0,3,82,60,0,1,1,0,2,0,1,2,236,1,0,2,1,0,0
2018-01-31,1090100116955,1,60,1,0,10000.0,4,4,19,0,1,1,1,1,1,1,1,27,1,1,0,1,0,0
2018-01-31,1090100117692,1,71,1,0,70000.0,13,91,27,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0
2018-01-31,1090100118397,1,83,1,0,50000.0,68,94,24,0,1,1,1,1,2,0,0,28,1,1,0,0,1,65
2018-01-31,1090100119261,1,65,0,1,20000.0,4,76,5,0,0,1,1,1,1,1,0,245,1,0,0,0,0,0
2018-01-31,1090100120383,1,64,1,1,26000.0,18,72,19,0,1,1,1,1,2,0,0,281,1,1,0,0,1,4
2018-01-31,1090100122751,1,63,1,1,30009.48,46,86,19,0,1,1,1,1,2,1,1,9,1,1,0,0,1,14
2018-01-31,1090100124036,1,78,1,0,15000.0,16,68,18,0,1,1,0,2,0,0,0,2350,1,1,2,2,0,0
2018-01-31,1090100124354,1,71,1,0,19500.0,0,10,60,0,1,1,0,1,1,0,0,526,1,0,1,1,0,0
2018-01-31,1090100128881,1,64,0,1,185000.0,21,37,76,0,1,1,1,1,1,0,0,1628,0,0,0,0,1,14
2018-01-31,1090100133345,0,54,1,0,15000.0,13,13,12,0,0,1,1,1,1,0,0,23,1,1,0,0,0,0
2018-01-31,1090100134392,1,59,1,0,29000.0,9,75,45,0,1,1,0,1,1,0,0,392,1,1,0,0,0,0
2018-01-31,1090100136191,1,60,0,0,13000.0,1,25,19,0,1,1,1,1,2,0,0,85,1,1,1,1,0,0
2018-01-31,1090100136531,1,61,1,1,3000.0,2,10,24,0,1,1,1,2,2,1,2,225,1,1,1,1,0,0
2018-01-31,1090100137383,1,52,1,1,60000.0,8,30,60,0,1,1,0,1,3,0,0,894,1,0,0,0,0,0
2018-01-31,1090100138398,1,60,1,0,5000.0,1,13,19,0,1,1,1,2,2,0,0,361,1,1,0,1,0,0
2018-01-31,1090100138886,1,66,1,1,10000.0,5,56,19,0,1,1,1,1,2,0,1,0,0,0,0,1,1,5
2018-01-31,1090100139751,1,50,1,1,120000.0,6,81,19,0,1,1,1,1,0,1,0,148,1,1,0,0,1,2
2018-01-31,1090100143472,1,64,0,0,10000.0,1,35,60,0,1,1,0,2,1,0,0,342,1,0,2,2,0,0
2018-01-31,1090100147982,1,49,1,1,26000.0,1,85,27,0,1,1,0,1,2,0,1,0,1,1,1,1,0,0
2018-01-31,1090100150371,1,72,0,1,37000.0,12,88,61,0,1,0,1,1,0,0,1,108,1,1,0,0,0,0
2018-01-31,1090100153591,1,63,1,0,25000.0,1,82,19,0,1,0,0,2,1,1,1,884,1,1,1,1,0,0
2018-01-31,1090100157112,1,45,1,0,20000.0,6,40,24,0,1,1,1,1,3,1,1,126,0,0,0,0,1,2
2018-01-31,1090100157848,1,54,1,0,5000.0,11,11,24,0,1,0,1,1,1,0,0,12,1,1,0,0,0,0
2018-01-31,1090100157988,1,47,0,1,50000.0,22,66,27,0,1,1,0,1,2,0,0,365,1,1,0,0,1,3
2018-01-31,1090100158119,1,58,0,0,120000.0,39,39,67,0,0,1,1,1,3,0,0,803,1,1,0,0,1,31
2018-01-31,1090100165000,1,67,0,1,50000.0,34,92,18,0,1,1,0,2,4,0,0,263,1,1,2,2,1,15
2018-01-31,1090100165883,1,60,1,1,24000.0,28,54,19,0,1,0,0,1,1,0,1,61,1,1,0,0,1,18
2018-01-31,1090100166324,0,46,1,1,100000.0,3,85,19,0,1,1,0,1,1,0,0,1458,1,1,0,1,1,2
2018-01-31,1090100166375,1,48,0,1,54000.0,31,31,76,0,1,1,1,1,1,0,0,104,1,1,0,0,0,0
2018-01-31,1090100171956,1,62,0,1,24700.0,15,15,243,0,1,1,1,1,1,0,0,84,1,1,0,0,0,0
2018-01-31,1090100177270,1,52,1,0,5000.0,1,1,24,0,1,0,0,1,2,0,0,24,1,1,1,1,0,0
2018-01-31,1090100177563,1,54,1,0,60000.0,3,12,60,0,1,0,0,1,1,0,0,399,1,1,0,1,1,2
2018-01-31,1090100181919,1,67,1,1,50000.0,7,69,24,0,1,1,1,1,1,0,0,318,1,1,0,0,0,0
2018-01-31,1090100183563,1,68,1,0,6000.0,10,79,24,0,1,1,0,2,3,0,0,67,1,1,2,2,0,0
2018-01-31,1090100189588,1,66,1,1,14500.0,55,55,70,0,0,1,1,1,2,0,0,0,1,1,0,0,1,22
2018-01-31,1090100190021,1,45,1,0,40000.0,39,50,27,0,1,1,0,1,2,0,0,237,1,1,0,0,1,3
2018-01-31,1090100190641,1,66,1,1,16000.0,6,24,24,0,1,1,1,1,3,0,0,255,0,1,0,0,1,5
2018-01-31,1090100193224,1,50,0,1,80000.0,42,88,20,0,1,0,0,1,1,0,0,127,1,1,0,0,1,28
2018-01-31,1090100193640,1,48,1,1,9000.0,15,84,5,0,1,1,1,1,1,0,0,194,1,0,0,0,1,7
2018-01-31,1090100195146,0,71,1,0,50000.0,16,51,34,0,1,0,0,1,2,0,1,60,1,1,0,0,0,0
2018-01-31,1090100197602,1,59,1,0,2300.0,6,68,33,0,1,1,0,2,2,0,1,713,1,1,2,2,0,0
2018-01-31,1090100197904,1,50,0,1,85000.0,51,51,5,0,1,1,1,1,3,0,0,27,1,0,0,0,1,12
2018-01-31,1090100198854,0,54,1,0,100000.0,3,65,27,0,1,1,1,1,0,0,0,1213,1,0,0,1,0,0
2018-01-31,1090100198897,1,53,1,0,2000.0,1,29,24,0,1,1,0,2,2,2,2,107,1,1,1,1,0,0
2018-01-31,1090100208175,1,50,1,0,15000.0,3,43,12,0,1,1,1,1,3,0,1,267,1,1,0,0,0,0
2018-01-31,1090100208183,1,55,1,0,48636.12,18,39,45,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0
2018-01-31,1090100208671,1,56,0,1,40000.0,44,44,78,0,1,1,1,1,4,0,0,0,1,0,0,0,1,10
2018-01-31,1090100209058,1,59,1,0,1500.0,0,79,27,0,1,1,0,2,1,1,1,305,1,1,1,1,0,0
2018-01-31,1090100209813,1,51,1,0,5000.0,4,54,60,0,1,0,0,1,2,0,1,176,1,1,1,0,1,2
2018-01-31,1090100210463,0,63,0,1,29000.0,12,85,19,0,1,1,0,1,1,1,1,0,1,1,0,0,1,2
2018-01-31,1090100212580,1,65,1,1,19000.0,8,17,45,0,1,1,0,1,2,0,0,105,1,1,1,1,0,0
2018-01-31,1090100214311,1,65,0,1,80000.0,42,82,76,0,1,1,1,1,1,0,0,161,0,0,0,0,1,10
2018-01-31,1090100216348,1,60,0,1,60000.0,4,22,67,0,1,1,1,1,0,1,1,809,1,1,0,1,0,0
2018-01-31,1090100220795,1,47,1,0,27000.0,4,40,60,1,1,0,0,1,1,0,1,83,1,1,0,1,0,0
2018-01-31,1090100221112,1,66,0,0,3000.0,1,9,19,0,1,1,1,1,3,1,1,80,1,1,1,1,0,0
2018-01-31,1090100221929,1,63,1,0,5000.0,3,31,54,0,1,1,1,1,1,1,1,255,1,1,1,1,0,0
2018-01-31,1090100222607,0,65,0,1,25000.0,7,7,19,0,1,1,0,1,1,0,1,318,1,1,0,0,1,2
2018-01-31,1090100223395,1,63,1,0,10000.0,2,44,24,0,1,1,1,1,1,0,0,162,1,1,0,1,0,0
2018-01-31,1090100224421,1,70,0,1,20050.0,7,36,243,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
2018-01-31,1090100225851,1,57,1,1,3000.0,1,4,19,0,1,0,0,1,2,0,0,67,0,0,0,0,0,0
2018-01-31,1090100226653,1,75,1,1,2600.0,7,7,60,0,0,0,0,1,3,0,0,9,1,1,0,0,0,0
2018-01-31,1090100227609,1,58,1,1,8000.0,15,59,19,1,0,0,0,1,2,0,0,31,0,0,0,0,0,0
2018-01-31,1090100228079,1,80,0,0,2500.0,10,28,243,0,1,1,1,1,2,1,1,46,1,1,0,0,0,0
2018-01-31,1090100228800,1,52,1,0,5000.0,5,53,61,0,1,0,1,1,1,0,0,14,1,1,0,0,0,0
2018-01-31,1090100229059,1,86,1,0,13000.0,1,86,243,0,1,1,1,3,0,0,1,976,1,1,3,2,0,0
2018-01-31,1090100231541,1,54,1,0,130000.0,10,98,5,0,1,1,1,1,1,1,1,431,1,0,0,0,1,7
2018-01-31,1090100231738,1,51,1,0,80000.0,10,28,243,0,1,1,1,1,2,0,0,569,1,1,0,0,0,0
2018-01-31,1090100232343,1,69,0,1,10000.0,1,8,19,0,1,1,1,1,2,0,1,0,1,1,1,1,0,0
2018-01-31,1090100232378,1,48,1,0,25100.0,16,27,78,1,0,1,1,1,3,0,0,212,1,0,0,0,1,4
2018-01-31,1090100234842,1,71,0,1,5100.0,5,88,24,0,1,1,0,1,3,0,0,58,1,1,0,1,0,0
2018-01-31,1090100235806,1,51,1,0,15000.0,10,48,19,0,1,0,0,1,5,0,0,295,1,1,0,0,1,2
2018-01-31,1090100235857,1,66,1,1,50000.0,12,37,19,0,1,1,1,1,0,0,0,0,1,1,0,0,1,9
2018-01-31,1090100237205,1,55,1,1,3000.0,5,31,25,0,0,0,0,1,3,0,0,57,1,1,1,0,0,0
2018-01-31,1090100237957,1,64,1,0,4500.0,20,88,20,0,1,0,0,1,3,0,0,170,1,1,0,0,1,18
2018-01-31,1090100241288,1,61,1,0,23700.0,9,32,33,0,1,1,1,1,2,1,1,0,1,1,0,0,0,0
2018-01-31,1090100242829,0,56,1,0,10000.0,0,20,12,0,1,1,1,2,1,0,1,190,1,1,2,2,0,0
2018-01-31,1090100243973,1,50,1,0,28000.0,7,25,3,0,1,1,1,1,1,0,0,346,0,0,0,0,0,0
2018-01-31,1090100244473,1,50,1,0,5000.0,6,6,19,0,1,1,1,1,1,0,1,107,1,1,0,0,0,0
2018-01-31,1090100245828,1,54,0,0,10000.0,2,2,5,0,1,1,1,1,2,0,0,103,1,0,0,0,0,0
2018-01-31,1090100246433,1,69,1,0,23000.0,10,43,67,0,1,1,1,1,2,0,1,43,1,1,0,0,0,0
2018-01-31,1090100246506,1,69,1,1,5000.0,3,81,24,0,1,1,0,2,1,1,1,221,1,1,2,2,0,0
2018-01-31,1090100247596,1,56,0,1,80000.0,26,35,78,1,0,1,1,1,3,0,0,763,1,0,0,0,1,2
2018-01-31,1090100248711,1,62,1,0,50000.0,3,24,24,0,1,1,1,1,1,0,0,265,1,1,0,2,1,2
2018-01-31,1090100249769,1,83,0,1,20100.0,4,89,19,0,1,1,1,1,2,0,0,0,1,1,0,1,0,0
2018-01-31,1090100251488,1,65,1,1,22100.0,11,65,5,0,1,1,1,2,3,0,0,723,1,0,2,2,1,7
2018-01-31,1090100251852,0,69,1,1,29000.0,3,19,19,0,1,1,0,1,2,0,0,261,1,1,0,1,1,2
2018-01-31,1090100252972,1,65,1,1,52300.0,22,82,19,0,1,1,1,1,3,0,0,614,1,1,0,0,1,11
2018-01-31,1090100255068,1,63,1,0,25100.0,11,40,24,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0
2018-01-31,1090100258962,1,49,1,0,15000.0,1,63,60,0,1,0,0,1,1,0,1,373,1,1,1,2,0,0
2018-01-31,1090100259322,1,54,1,1,108000.0,40,88,61,0,1,0,1,1,1,0,0,107,1,1,0,0,1,10
2018-01-31,1090100261556,1,56,1,0,35000.0,2,40,19,0,1,1,1,1,2,0,1,336,1,1,1,1,0,0
2018-01-31,1090100261602,1,66,0,1,16000.0,0,3,24,0,1,1,1,2,0,0,1,63,1,1,1,1,0,0
2018-01-31,1090100262757,1,49,0,1,25000.0,10,10,19,0,0,1,1,1,1,0,0,251,0,0,0,0,1,4
2018-01-31,1090100264768,1,56,1,0,45000.0,7,36,19,0,1,1,1,1,4,0,0,154,1,1,1,1,1,8
2018-01-31,1090100267511,1,43,1,0,200000.0,1,1,243,0,0,1,1,1,4,0,0,0,1,1,0,0,0,0
2018-01-31,1090100268216,1,41,0,0,19500.0,5,31,91,0,1,1,1,1,2,0,0,291,1,1,0,0,0,0
2018-01-31,1090100268925,1,52,0,1,200000.0,62,62,59,0,1,1,1,1,2,0,0,1489,1,1,0,0,1,36
2018-01-31,1090100270954,1,45,1,0,10000.0,1,15,33,0,1,1,0,2,2,1,1,583,1,1,1,1,0,0
2018-01-31,1090100274224,1,48,1,0,50500.0,34,40,76,0,1,1,1,1,1,0,0,60,0,0,0,0,1,10
2018-01-31,1090100274852,1,44,1,0,150000.0,0,15,243,0,1,1,1,1,1,0,0,712,1,1,3,2,0,0
2018-01-31,1090100283347,1,42,1,0,28000.0,0,15,243,0,1,1,1,1,3,0,0,279,1,1,1,1,0,0
2018-01-31,1090100284653,0,46,1,0,9000.0,9,46,93,1,0,1,0,1,1,0,0,84,1,1,0,0,0,0
2018-01-31,1090100288233,1,66,1,0,29000.0,2,38,243,0,1,1,1,1,2,0,0,786,1,1,1,1,0,0
2018-01-31,1090100288331,1,55,0,0,18500.0,1,49,24,0,1,1,1,2,4,0,0,292,1,1,2,2,1,2
2018-01-31,1090100293237,1,53,1,0,28600.0,2,22,78,0,1,1,1,1,1,2,2,384,1,1,1,1,0,0
2018-01-31,1090100293687,1,68,1,0,19300.0,2,21,19,0,1,1,1,2,2,1,1,209,1,1,2,2,0,0
2018-01-31,1090100293741,1,58,0,0,24500.0,12,84,45,0,1,1,0,1,2,1,1,66,1,1,0,1,0,0
2018-01-31,1090100296864,1,64,1,0,117000.0,21,93,78,0,1,1,1,1,2,0,0,945,1,0,0,0,1,14
2018-01-31,1090100298484,1,76,1,0,7700.0,2,57,76,0,0,1,1,1,1,0,0,67,1,1,1,1,0,0
2018-01-31,1090100301795,1,44,1,0,50000.0,5,50,24,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
2018-01-31,1090100303984,1,71,1,1,1200.0,9,9,19,0,1,1,1,1,2,1,1,10,1,1,0,0,1,8
2018-01-31,1090100304972,1,55,1,0,35000.0,2,39,45,0,1,1,1,1,1,0,0,277,1,1,1,1,0,0
2018-01-31,1090100305201,1,61,0,1,130000.0,0,20,3,0,1,1,1,1,3,0,0,69,0,0,1,1,0,0
2018-01-31,1090100305600,1,55,0,1,10000.0,10,93,19,0,1,1,1,1,3,0,0,0,1,1,0,0,1,2
2018-01-31,1090100308692,1,68,1,0,32000.0,17,78,243,0,1,1,1,1,0,0,0,236,1,1,0,0,0,0
2018-01-31,1090100310255,1,50,1,0,5000.0,4,4,24,0,1,1,1,1,2,0,1,0,1,1,0,0,0,0
2018-01-31,1090100311251,1,73,0,1,35000.0,0,38,24,0,1,1,1,1,3,0,0,260,1,1,1,1,0,0
2018-01-31,1090100313688,1,60,1,1,50000.0,8,83,76,0,1,1,1,1,2,0,1,65,1,1,0,0,0,0
2018-01-31,1090100315834,1,57,1,1,10000.0,4,11,12,0,1,0,1,1,2,1,2,184,1,1,0,2,1,2
2018-01-31,1090100318477,0,49,1,0,119000.0,18,89,24,0,1,1,0,1,0,1,1,0,1,1,0,1,1,2
